command,code
initiate integer x with value twenty,integer x = 20
initiate number x with value twenty,number x = 20.0
initiate text x with value twenty,"text x = ""20"""
initiate string x with value twenty,"text x = ""20"""
initiate integer x with value twenty one,integer x = 21
initiate number x with value twenty one,number x = 21.0
initiate text x with value twenty one,"text x = ""21"""
initiate string x with value twenty one,"text x = ""21"""
initiate integer x with value twenty two,integer x = 22
initiate number x with value twenty two,number x = 22.0
initiate text x with value twenty two,"text x = ""22"""
initiate string x with value twenty two,"text x = ""22"""
initiate integer x with value twenty three,integer x = 23
initiate number x with value twenty three,number x = 23.0
initiate text x with value twenty three,"text x = ""23"""
initiate string x with value twenty three,"text x = ""23"""
initiate integer x with value twenty four,integer x = 24
initiate number x with value twenty four,number x = 24.0
initiate text x with value twenty four,"text x = ""24"""
initiate string x with value twenty four,"text x = ""24"""
initiate integer x with value twenty five,integer x = 25
initiate number x with value twenty five,number x = 25.0
initiate text x with value twenty five,"text x = ""25"""
initiate string x with value twenty five,"text x = ""25"""
initiate integer x with value seventy,integer x = 70
initiate number x with value seventy,number x = 70.0
initiate text x with value seventy,"text x = ""70"""
initiate string x with value seventy,"text x = ""70"""
initiate integer x with value seventy one,integer x = 71
initiate number x with value seventy one,number x = 71.0
initiate text x with value seventy one,"text x = ""71"""
initiate string x with value seventy one,"text x = ""71"""
initiate integer x with value seventy two,integer x = 72
initiate number x with value seventy two,number x = 72.0
initiate text x with value seventy two,"text x = ""72"""
initiate string x with value seventy two,"text x = ""72"""
initiate integer x with value seventy three,integer x = 73
initiate number x with value seventy three,number x = 73.0
initiate text x with value seventy three,"text x = ""73"""
initiate string x with value seventy three,"text x = ""73"""
initiate integer x with value seventy four,integer x = 74
initiate number x with value seventy four,number x = 74.0
initiate text x with value seventy four,"text x = ""74"""
initiate string x with value seventy four,"text x = ""74"""
initiate integer x with value seventy five,integer x = 75
initiate number x with value seventy five,number x = 75.0
initiate text x with value seventy five,"text x = ""75"""
initiate string x with value seventy five,"text x = ""75"""
initiate integer y with value twenty,integer y = 20
initiate number y with value twenty,number y = 20.0
initiate teyt y with value twenty,"teyt y = ""20"""
initiate string y with value twenty,"teyt y = ""20"""
initiate integer y with value twenty one,integer y = 21
initiate number y with value twenty one,number y = 21.0
initiate teyt y with value twenty one,"teyt y = ""21"""
initiate string y with value twenty one,"teyt y = ""21"""
initiate integer y with value twenty two,integer y = 22
initiate number y with value twenty two,number y = 22.0
initiate teyt y with value twenty two,"teyt y = ""22"""
initiate string y with value twenty two,"teyt y = ""22"""
initiate integer y with value twenty three,integer y = 23
initiate number y with value twenty three,number y = 23.0
initiate teyt y with value twenty three,"teyt y = ""23"""
initiate string y with value twenty three,"teyt y = ""23"""
initiate integer y with value twenty four,integer y = 24
initiate number y with value twenty four,number y = 24.0
initiate teyt y with value twenty four,"teyt y = ""24"""
initiate string y with value twenty four,"teyt y = ""24"""
initiate integer y with value twenty five,integer y = 25
initiate number y with value twenty five,number y = 25.0
initiate teyt y with value twenty five,"teyt y = ""25"""
initiate string y with value twenty five,"teyt y = ""25"""
initiate integer y with value seventy,integer y = 70
initiate number y with value seventy,number y = 70.0
initiate teyt y with value seventy,"teyt y = ""70"""
initiate string y with value seventy,"teyt y = ""70"""
initiate integer y with value seventy one,integer y = 71
initiate number y with value seventy one,number y = 71.0
initiate teyt y with value seventy one,"teyt y = ""71"""
initiate string y with value seventy one,"teyt y = ""71"""
initiate integer y with value seventy two,integer y = 72
initiate number y with value seventy two,number y = 72.0
initiate teyt y with value seventy two,"teyt y = ""72"""
initiate string y with value seventy two,"teyt y = ""72"""
initiate integer y with value seventy three,integer y = 73
initiate number y with value seventy three,number y = 73.0
initiate teyt y with value seventy three,"teyt y = ""73"""
initiate string y with value seventy three,"teyt y = ""73"""
initiate integer y with value seventy four,integer y = 74
initiate number y with value seventy four,number y = 74.0
initiate teyt y with value seventy four,"teyt y = ""74"""
initiate string y with value seventy four,"teyt y = ""74"""
initiate integer y with value seventy five,integer y = 75
initiate number y with value seventy five,number y = 75.0
initiate teyt y with value seventy five,"teyt y = ""75"""
initiate string y with value seventy five,"teyt y = ""75"""
